Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Posture
-0.04,-0.00,-1.02,-2.99,2.87,-1.59,28.45,17.40,35.03,2
-0.03,-0.02,-1.00,0.06,3.42,0.43,29.10,17.96,36.01,2
-0.07,-0.02,-1.05,-0.31,-0.18,-5.55,29.82,18.75,35.38,2
-0.05,0.01,-1.02,7.08,0.18,-13.92,30.52,19.17,35.50,2
-0.02,0.02,-1.01,4.39,-6.16,-10.62,29.42,19.34,36.40,2
-0.01,0.04,-0.98,3.05,-3.11,-6.53,28.81,18.98,36.51,2
-0.02,0.03,-1.02,-7.51,-0.18,-0.37,29.49,20.15,36.69,2
-0.02,0.01,-1.03,-7.39,-0.49,4.09,29.90,19.63,34.72,2
-0.03,0.01,-1.03,0.73,1.04,8.06,29.80,19.63,34.52,2
-0.01,-0.00,-1.02,-0.67,-0.92,5.68,29.72,19.24,36.88,2
-0.01,0.00,-0.99,-4.70,-2.81,6.71,29.02,18.69,37.45,2
-0.01,-0.00,-0.99,-1.40,0.73,5.68,28.82,18.41,36.18,2
-0.03,-0.01,-1.01,-0.31,1.77,1.83,29.86,18.97,35.93,2
-0.02,-0.00,-1.00,-1.46,5.43,-1.65,29.88,18.03,34.74,2
-0.02,-0.01,-0.99,-1.46,-1.53,0.06,30.82,17.97,34.90,2
-0.03,-0.01,-1.01,0.49,1.34,-0.73,31.09,17.54,32.52,2
-0.04,-0.01,-1.00,-0.61,1.22,-3.11,30.54,18.02,34.78,2
0.04,0.01,-1.02,9.34,-40.77,-40.28,30.30,18.85,34.19,2
0.06,0.01,-1.00,0.61,-0.73,-9.16,30.75,20.81,37.02,2
0.05,-0.00,-1.02,-4.09,21.36,0.37,29.14,21.52,36.79,2
0.01,-0.01,-1.00,-3.60,-0.85,-4.09,27.91,20.73,37.51,2
0.00,-0.00,-0.98,-1.46,-4.94,1.65,26.75,20.57,37.59,2
0.05,-0.01,-1.06,-10.38,0.18,9.28,27.19,20.86,36.61,2
-0.04,-0.08,-1.01,-2.69,13.73,13.18,26.11,19.34,32.97,2
0.03,-0.03,-0.97,0.24,7.69,11.72,24.73,18.84,33.44,2
-0.01,-0.02,-1.01,9.40,0.85,5.43,23.93,18.77,33.78,2
-0.01,-0.02,-1.03,1.22,-5.68,6.53,22.67,17.21,32.87,2
-0.02,0.00,-1.01,0.12,-11.17,9.89,22.27,17.21,35.02,2
0.00,-0.03,-1.02,2.56,-5.43,3.91,21.72,16.43,35.03,2
-0.01,0.01,-0.99,3.23,8.97,-0.73,21.48,16.31,35.94,2
-0.02,0.01,-0.99,6.96,-16.05,-19.17,21.91,16.72,35.11,2
0.01,0.01,-1.00,6.96,-5.98,-18.68,22.99,16.76,35.58,2
-0.00,0.02,-1.01,-2.38,13.79,-13.49,23.12,17.80,36.01,2
0.02,0.02,-1.03,-4.03,-3.97,-15.38,22.63,17.88,35.78,2
0.03,0.02,-0.96,-18.37,4.70,-47.55,21.34,19.09,36.80,2
-0.01,0.01,-1.00,0.24,0.55,-31.80,21.51,21.20,36.49,2
0.04,0.00,-0.96,-4.70,-7.87,-17.82,21.51,22.08,37.15,2
-0.02,-0.00,-0.98,-8.97,12.21,-20.08,21.35,23.24,37.32,2
-0.02,-0.00,-1.01,-1.95,-7.69,-34.91,21.02,24.58,35.85,2
-0.01,-0.02,-1.00,3.54,-12.39,-15.69,21.30,27.00,36.84,2
0.03,-0.02,-1.01,-6.04,-0.61,-0.43,21.72,27.11,37.98,2
0.02,-0.01,-1.00,7.26,17.21,25.33,22.46,27.82,37.94,2
-0.04,-0.01,-1.00,-6.59,6.47,-22.83,21.33,26.57,37.94,2
0.00,-0.01,-1.03,9.34,-8.91,-53.59,20.32,28.30,38.55,2
0.01,0.02,-0.99,-2.44,3.72,-28.75,20.32,29.44,37.66,2
0.00,-0.01,-1.01,-3.78,7.08,-13.92,18.73,30.27,38.16,2
-0.02,0.01,-1.03,10.31,3.48,-37.90,18.40,31.57,39.62,2
-0.06,0.04,-0.99,-5.49,-3.78,-33.69,17.13,31.62,40.31,2
-0.05,0.02,-1.05,-10.25,4.21,-31.68,16.63,32.95,38.59,2
-0.06,0.00,-0.98,3.11,10.93,-0.06,15.16,34.01,38.13,2
-0.08,-0.01,-1.04,-4.58,11.78,0.73,14.51,34.31,39.32,2
-0.01,-0.01,-1.00,5.19,-1.95,-38.15,13.16,34.40,40.28,2
-0.05,-0.02,-0.99,-29.54,-4.58,-41.63,12.34,35.06,41.05,2
-0.04,-0.05,-0.98,-1.04,3.05,-9.46,11.21,37.35,40.78,2
-0.08,-0.07,-1.03,6.10,-7.69,-7.26,9.95,36.96,40.91,2
-0.07,-0.04,-1.02,9.34,-12.21,-8.06,10.01,36.65,40.44,2
-0.01,-0.05,-1.00,2.38,-8.06,-6.71,10.69,36.94,39.98,2
0.01,-0.02,-1.02,2.08,1.53,-14.04,10.56,37.13,40.08,2
0.03,-0.00,-0.99,9.09,-2.62,-5.25,9.97,36.36,40.52,2
-0.01,-0.00,-1.04,7.26,-8.06,9.77,10.69,34.99,41.20,2
-0.03,0.02,-1.06,1.46,-5.98,19.96,11.24,35.21,41.31,2
-0.00,0.02,-1.02,-3.11,-7.32,19.23,13.04,34.52,42.10,2
0.01,0.02,-1.02,-9.40,2.38,-18.01,13.48,34.81,41.22,2
0.01,0.03,-1.01,2.14,7.32,-35.10,11.11,35.62,41.16,2
0.01,0.02,-1.00,7.63,-6.29,1.95,11.04,35.47,42.15,2
0.02,-0.01,-0.99,-7.81,-1.89,11.96,11.16,35.39,41.26,2
0.02,-0.01,-1.00,-12.82,-2.56,17.46,12.48,35.73,41.97,2
0.03,-0.03,-1.00,-11.54,-2.93,28.81,14.44,35.61,40.73,2
0.02,-0.01,-1.02,1.04,6.35,25.51,14.26,36.08,39.48,2
0.00,-0.03,-1.00,-0.12,3.66,7.39,14.73,35.45,41.54,2
0.01,-0.02,-1.00,5.74,0.00,0.67,14.97,34.67,40.47,2
0.03,-0.03,-0.99,2.62,0.61,19.23,14.97,34.70,40.08,2
0.00,-0.02,-1.00,-1.89,-0.92,25.82,14.99,34.36,40.39,2
0.01,-0.01,-1.02,3.11,2.44,8.85,15.76,33.08,39.60,2
-0.00,-0.02,-0.99,-3.48,-4.21,3.97,16.49,32.68,40.03,2
0.03,-0.01,-0.96,-2.50,-6.41,12.33,16.61,32.41,41.78,2
0.00,-0.00,-1.01,-6.65,13.18,7.51,17.14,32.08,39.86,2
-0.04,0.01,-1.02,1.59,4.88,-3.48,16.42,32.17,41.28,2
-0.01,-0.00,-1.00,-3.17,-7.45,-66.28,15.75,32.48,40.60,2
-0.01,0.02,-0.98,-2.01,5.62,-38.88,14.21,32.85,41.04,2
-0.03,0.00,-0.99,8.06,2.87,-16.97,12.49,34.84,40.89,2
-0.02,-0.02,-1.01,7.14,6.65,-35.28,11.23,34.69,41.75,2
-0.09,0.03,-1.03,-1.77,5.86,-31.19,9.19,35.58,42.60,2
-0.06,0.03,-1.00,13.61,6.53,-15.20,8.31,35.05,43.55,2
-0.05,0.05,-0.93,-0.31,-8.24,-10.50,7.48,34.39,43.70,2
-0.10,-0.00,-0.90,-27.89,4.15,-5.43,8.02,34.52,42.43,2
-0.02,-0.04,-1.06,-13.55,-2.75,-6.23,7.75,37.70,40.95,2
-0.01,-0.03,-1.02,13.24,-19.17,-10.07,7.45,38.02,41.66,2
-0.10,0.02,-1.08,25.21,12.57,-24.05,7.15,37.22,41.50,2
-0.04,0.02,-0.99,-8.48,2.56,-10.44,5.77,36.58,41.91,2
-0.06,-0.01,-0.98,-19.17,11.17,-16.60,4.61,37.81,41.85,2
-0.12,-0.05,-1.05,-16.30,36.19,-15.32,3.64,38.65,41.64,2
-0.12,-0.04,-1.02,9.40,-3.54,-1.04,1.48,40.08,40.61,2
-0.15,-0.01,-1.00,9.46,-7.57,0.37,1.64,38.34,42.65,2
-0.11,-0.02,-1.01,-4.82,-3.48,-7.20,2.08,38.67,41.16,2
-0.10,-0.02,-1.01,11.41,-2.38,-1.71,2.01,38.42,41.08,2
-0.09,0.02,-1.04,4.76,-22.71,33.26,2.38,38.46,41.28,2
-0.02,-0.00,-0.99,0.37,-9.58,39.25,4.87,36.95,40.39,2
-0.08,0.00,-1.00,12.45,-8.67,46.14,7.80,35.80,40.60,2
-0.03,0.02,-1.02,17.82,2.62,23.44,9.01,35.24,41.03,2
-0.05,-0.02,-0.92,-26.92,1.46,53.34,9.24,34.00,42.21,2
-0.00,-0.04,-1.02,-4.70,-3.66,35.71,11.23,34.96,41.58,2
0.02,-0.06,-0.85,-12.82,-3.17,46.75,12.85,34.73,41.09,2
-0.02,-0.09,-0.99,-12.82,9.89,53.89,13.73,35.78,38.99,2
-0.04,-0.08,-1.00,7.45,4.39,53.04,15.00,34.12,39.88,2
-0.00,-0.07,-0.99,8.48,-2.01,30.70,16.64,32.06,41.16,2
-0.06,-0.06,-1.00,0.73,5.43,24.54,17.99,30.48,40.30,2
-0.03,-0.08,-1.01,0.49,0.49,27.10,17.98,30.18,40.65,2
-0.03,-0.06,-1.03,-3.23,-6.71,36.32,19.89,29.39,41.44,2
-0.03,-0.07,-1.01,2.26,-1.83,38.94,20.53,27.16,40.78,2
-0.04,-0.01,-0.99,-1.77,-2.26,40.89,21.06,25.32,41.17,2
-0.01,-0.07,-1.02,-8.73,6.04,15.99,22.06,24.49,40.39,2
0.09,-0.11,-1.01,-5.86,-1.10,44.62,22.53,24.10,40.67,2
0.02,-0.06,-1.01,-5.25,-4.64,15.20,23.71,22.63,39.10,2
0.01,-0.06,-0.99,4.88,10.31,16.97,23.35,22.11,41.13,2
0.00,-0.06,-0.98,-2.32,5.13,17.76,22.61,20.72,40.78,2
-0.01,-0.05,-0.99,-9.40,-1.22,23.44,22.08,21.04,41.42,2
-0.01,-0.07,-1.01,5.25,0.98,17.15,21.83,19.82,40.70,2
-0.00,-0.04,-1.00,7.93,2.50,20.20,21.70,19.23,40.15,2
0.02,-0.04,-1.00,4.52,5.55,27.77,22.51,17.54,40.15,2
-0.01,-0.04,-1.00,0.79,-14.95,30.88,22.81,16.37,40.44,2
0.00,0.05,-1.05,24.11,8.97,10.50,21.94,13.99,40.06,2
0.00,0.02,-0.98,7.02,10.56,13.31,21.98,12.88,40.95,2
0.01,0.03,-1.01,-8.67,8.42,4.15,21.14,12.40,40.78,2
-0.06,0.00,-0.98,6.29,0.85,19.23,21.33,11.90,40.16,2
-0.01,0.00,-1.04,-3.05,2.75,18.49,20.54,10.19,41.13,2
0.01,-0.01,-1.05,-15.26,-13.79,19.29,21.39,10.51,41.82,2
0.02,-0.02,-0.99,1.04,-6.96,17.03,21.72,10.30,40.55,2
-0.02,-0.01,-0.98,9.70,-2.62,7.08,21.74,10.06,41.75,2
0.00,0.01,-1.01,14.77,6.04,16.48,20.56,7.52,41.44,2
-0.01,0.05,-1.02,-2.81,-2.38,13.73,20.57,7.15,41.70,2
0.01,0.05,-1.00,8.06,1.10,11.29,20.61,6.47,41.69,2
0.06,0.10,-0.99,11.72,14.53,3.60,19.96,4.90,41.76,2
-0.04,0.09,-0.99,-20.69,-18.49,30.03,19.38,4.64,42.11,2
0.03,0.03,-1.02,-13.24,-9.52,21.55,19.96,5.22,40.75,2
0.00,-0.02,-0.99,-7.45,15.01,5.43,19.95,4.71,40.91,2
-0.00,-0.03,-1.01,-13.55,-9.40,4.33,18.82,5.32,42.38,2
0.01,-0.05,-0.98,2.69,0.98,15.14,18.29,4.44,42.87,2
-0.05,-0.00,-0.99,-3.78,13.92,13.24,17.43,4.88,43.97,2
-0.03,-0.02,-0.99,-5.62,0.37,11.54,15.42,5.19,44.89,2
-0.04,-0.01,-0.99,8.24,-2.62,6.77,15.87,4.22,43.82,2
-0.03,-0.05,-1.00,11.23,-6.41,8.00,15.92,2.95,44.07,2
0.00,-0.00,-1.00,3.05,-10.93,13.12,16.61,2.67,43.35,2
-0.00,0.01,-1.00,-5.37,-3.42,21.48,16.74,1.38,42.03,2
0.01,-0.04,-1.04,-9.77,0.98,18.86,16.08,1.27,44.26,2
0.01,-0.05,-1.03,-2.69,3.78,7.81,15.32,1.95,43.33,2
-0.02,0.04,-0.99,-0.31,-6.90,5.07,15.27,2.25,43.20,2
0.02,-0.02,-1.00,9.03,4.94,10.86,15.19,1.99,42.92,2
0.01,-0.02,-1.02,-8.00,0.18,17.94,13.82,1.20,43.80,2
0.01,-0.05,-0.99,-6.53,-3.78,19.04,13.56,1.21,45.42,2
-0.01,-0.02,-1.00,-4.52,-9.77,12.39,13.13,1.31,44.98,2
-0.00,-0.01,-0.99,-0.61,-5.49,11.90,13.09,1.60,45.47,2
0.02,0.00,-1.03,-0.37,-1.89,12.76,12.92,1.39,44.34,2
0.04,-0.04,-0.99,-2.20,-14.59,24.05,13.68,0.56,44.68,2
0.05,-0.01,-1.03,-1.89,21.36,16.48,13.48,-0.24,44.73,2
-0.01,-0.02,-1.02,0.67,16.05,17.33,10.74,-0.44,44.74,2
-0.01,-0.01,-1.02,5.49,3.91,15.32,9.44,-0.57,45.10,2
-0.02,0.02,-1.03,0.73,6.16,25.70,9.83,-1.61,45.24,2
-0.00,-0.02,-1.01,1.10,-7.14,18.74,8.84,-2.73,44.58,2
0.02,-0.00,-1.00,8.85,-14.95,31.43,9.58,-4.26,44.95,2
0.04,0.04,-1.01,3.23,-5.49,24.72,9.06,-4.83,44.54,2
0.03,0.03,-1.00,-2.75,-9.52,17.58,8.68,-5.19,43.51,2
0.06,0.06,-1.02,-2.87,-4.39,-1.83,8.57,-5.48,43.97,2
0.05,-0.01,-1.00,-5.74,-7.51,-13.67,9.18,-4.99,43.65,2
0.07,0.02,-1.01,-5.86,6.90,-20.02,10.08,-4.39,43.57,2
0.05,0.01,-1.01,-3.78,6.96,-9.09,10.25,-4.13,43.86,2
0.03,-0.02,-1.00,-1.53,10.13,-10.68,10.16,-3.63,43.55,2
0.03,-0.02,-1.01,2.20,6.29,-13.85,9.57,-3.16,44.40,2
0.01,0.00,-1.01,-0.61,2.32,-15.32,9.73,-3.05,43.20,2
0.01,-0.00,-1.01,8.30,3.48,-13.67,9.77,-2.34,45.35,2
0.01,0.03,-1.01,2.93,1.77,-11.29,10.36,-2.62,44.20,2
0.00,0.02,-1.02,-1.46,-7.51,-4.46,11.84,-3.12,42.63,2
0.02,0.01,-1.02,-2.01,-3.30,-11.72,12.49,-2.66,44.52,2
0.00,0.00,-0.99,-1.16,-0.55,-11.23,12.84,-3.37,42.27,2
0.00,0.01,-1.00,-2.87,4.82,-8.97,13.05,-2.10,42.71,2
0.03,0.01,-1.01,-9.03,12.51,0.49,12.52,-1.56,44.71,2
-0.02,0.02,-1.01,-12.45,-23.25,42.24,11.47,-1.31,44.70,2
0.03,-0.08,-1.06,8.12,-9.03,25.27,11.99,-1.79,45.29,2
0.08,-0.04,-1.01,18.07,-21.67,36.80,11.76,-3.91,44.48,2
0.11,0.02,-1.02,0.37,-8.24,23.99,10.85,-6.96,43.55,2
0.06,0.05,-1.02,3.91,-2.01,35.52,9.90,-7.90,43.91,2
0.05,0.04,-0.96,12.94,1.40,21.91,9.42,-7.92,44.10,2
0.08,0.06,-0.98,1.16,-19.71,14.71,9.55,-8.15,42.52,2
0.13,0.04,-0.95,-13.85,-8.48,10.74,11.25,-8.41,42.91,2
0.11,0.09,-1.03,-13.18,-1.04,28.63,9.30,-7.79,45.69,2
0.06,0.12,-0.99,1.04,2.62,19.96,8.47,-8.03,44.47,2
0.11,0.07,-0.95,3.11,16.24,3.48,8.07,-8.81,47.45,2
0.13,0.10,-1.10,2.08,1.71,5.74,6.95,-9.19,46.91,2
0.13,0.08,-1.07,-13.49,-19.96,0.67,8.63,-9.18,47.25,2
0.15,0.05,-0.97,4.09,-2.38,12.39,11.01,-9.16,45.95,2
0.17,0.02,-0.97,-8.00,4.15,-1.95,11.01,-9.02,45.09,2
0.17,0.07,-1.01,4.03,-6.53,5.86,8.92,-7.50,43.98,2
0.16,-0.02,-0.98,1.95,3.60,18.80,9.58,-6.68,42.86,2
0.15,0.03,-0.96,0.24,-7.14,16.17,7.74,-6.42,43.15,2
0.18,0.04,-1.06,-2.56,-11.23,26.55,6.16,-5.64,42.69,2
0.16,0.09,-0.97,-1.22,5.19,16.66,6.26,-5.64,42.77,2
0.17,0.07,-1.04,-1.46,12.70,7.14,5.32,-5.41,42.97,2
0.16,0.08,-0.99,-6.59,-6.41,2.44,5.04,-6.48,43.23,2
0.17,0.04,-1.01,-8.00,-2.08,6.53,6.12,-6.04,44.20,2
0.16,0.03,-0.95,-1.95,2.26,9.40,6.29,-6.49,43.69,2
0.15,0.06,-0.97,-0.37,5.98,8.36,5.82,-6.58,43.12,2
0.14,-0.01,-0.99,-9.89,15.32,9.16,5.66,-6.59,43.02,2
0.11,0.02,-0.99,-2.99,8.79,11.41,4.63,-5.64,43.82,2
0.10,0.05,-0.99,-7.39,4.33,16.36,2.51,-5.46,43.32,2
0.09,0.06,-1.01,8.18,21.06,28.32,2.25,-5.40,43.98,2
0.08,-0.03,-0.99,7.81,-0.49,17.76,-0.04,-6.42,43.47,2
0.05,0.03,-0.94,11.54,-5.25,17.15,-0.94,-7.30,43.03,2
0.07,0.10,-1.02,10.07,0.79,9.58,-1.95,-7.37,42.25,2
0.05,0.12,-0.99,-0.98,0.98,12.33,-1.95,-8.12,43.32,2
0.08,0.12,-1.04,12.82,-3.91,26.55,-2.99,-8.00,43.36,2
0.08,0.10,-1.00,4.46,6.29,22.34,-4.30,-8.48,42.96,2
0.02,0.13,-0.98,-8.79,1.59,11.96,-5.43,-8.23,42.77,2
0.02,0.07,-0.98,-2.87,3.97,12.33,-5.96,-7.92,43.97,2
0.00,0.11,-1.05,-6.29,-25.63,14.53,-6.58,-6.37,43.68,2
0.03,0.10,-1.00,-1.77,4.15,11.41,-7.37,-5.74,42.96,2
0.04,0.09,-1.00,-0.06,-0.67,16.05,-7.45,-6.01,43.18,2
0.02,0.06,-1.00,-2.62,-7.87,6.41,-7.37,-5.74,44.38,2
0.05,0.05,-1.01,-6.41,-0.49,6.41,-8.46,-5.03,43.57,2
0.04,0.03,-1.05,-16.11,3.60,10.56,-8.87,-3.87,43.62,2
0.05,0.04,-1.00,-4.94,0.31,16.24,-9.79,-1.98,45.54,2
0.00,0.09,-1.07,7.69,-9.34,7.51,-9.85,-2.29,45.13,2
0.03,0.05,-0.98,12.21,6.47,-1.65,-9.88,-2.69,43.85,2
0.02,0.09,-1.00,7.45,8.30,3.66,-10.69,-3.61,44.29,2
0.03,0.11,-1.01,-3.78,2.50,8.24,-11.93,-4.25,44.34,2
0.03,0.08,-0.96,7.87,11.54,6.47,-11.68,-3.54,43.47,2
0.02,0.05,-0.99,6.04,4.27,6.90,-11.85,-2.89,44.20,2
-0.02,0.03,-1.00,6.23,-4.76,9.52,-13.20,-2.78,43.10,2
-0.03,0.06,-0.97,-8.85,-6.59,18.01,-13.42,-3.23,44.02,2
0.01,0.10,-1.04,-9.22,-10.44,19.90,-12.73,-2.56,44.26,2
0.03,0.06,-1.00,-6.96,-18.19,5.98,-13.07,-1.35,44.95,2
0.05,0.03,-0.97,-5.25,11.47,16.48,-13.21,-0.09,46.06,2
0.01,0.04,-0.97,-0.92,19.65,16.48,-14.94,1.22,45.17,2
-0.01,0.02,-1.04,18.55,1.46,3.36,-15.23,0.50,45.02,2
-0.07,0.05,-0.93,4.94,-7.26,1.40,-16.02,-0.85,44.34,2
-0.01,0.09,-1.06,0.43,11.90,20.69,-17.09,-1.65,44.23,2
-0.03,0.11,-0.98,9.77,6.35,38.57,-17.37,-0.78,44.26,2
-0.03,0.11,-0.97,-7.08,3.66,14.34,-19.51,0.70,44.71,2
-0.02,0.09,-0.97,-0.37,-2.08,-1.28,-20.51,1.92,44.25,2
-0.08,0.07,-0.99,6.96,3.72,11.66,-20.39,1.86,43.86,2
-0.06,0.11,-1.01,1.83,-6.23,13.79,-20.65,1.27,43.27,2
-0.07,0.13,-0.99,-3.05,7.75,23.50,-21.33,1.73,42.85,2
-0.08,0.08,-1.01,-3.42,5.19,30.70,-22.39,3.00,42.54,2
-0.10,0.06,-1.00,-1.89,-0.24,43.95,-24.08,4.88,42.99,2
-0.14,0.06,-1.01,-9.34,2.38,27.53,-24.43,6.64,42.07,2
-0.10,0.04,-0.98,-8.12,-4.94,34.67,-24.61,8.17,41.06,2
-0.10,0.01,-0.99,-7.69,-4.52,23.38,-25.04,10.85,44.29,2
-0.08,0.02,-1.00,6.90,0.92,6.23,-25.10,11.32,42.91,2
-0.10,0.03,-1.01,14.28,1.28,6.23,-25.10,10.83,43.05,2
-0.10,0.04,-1.00,3.85,-4.94,1.16,-25.17,10.61,43.21,2
-0.08,0.05,-1.00,-0.55,-3.30,3.54,-25.24,11.00,42.90,2
-0.07,0.05,-1.01,2.32,-8.00,2.38,-24.33,10.91,42.85,2
-0.07,0.04,-1.00,-5.74,-6.23,1.65,-24.54,10.24,43.84,2
-0.07,0.03,-1.01,-0.31,-2.87,-2.50,-23.06,11.00,42.93,2
-0.05,0.04,-0.99,-4.15,-3.17,-11.72,-22.77,10.88,43.24,2
-0.04,0.04,-1.01,-10.25,-2.56,-7.51,-22.96,10.23,44.24,2
-0.05,0.02,-1.01,-4.33,-3.60,-19.84,-22.89,10.62,44.24,2
-0.04,0.00,-1.01,2.81,-7.26,2.26,-22.47,10.03,44.08,2
-0.03,0.04,-1.02,11.29,-4.33,21.85,-22.28,9.81,44.71,2
-0.01,0.04,-0.99,2.08,-4.46,30.15,-21.59,10.78,44.52,2
0.00,0.03,-0.99,-13.98,-12.45,32.29,-22.89,11.13,44.73,2
0.02,0.00,-1.00,-13.98,-10.74,35.16,-22.35,13.99,44.51,2
0.03,-0.03,-0.99,-9.22,-0.79,33.51,-21.64,16.78,45.20,2
0.04,-0.05,-0.99,-6.59,2.69,37.78,-21.92,19.08,46.20,2
0.01,-0.02,-1.02,4.09,1.46,34.97,-21.96,19.59,45.39,2
-0.05,-0.02,-1.03,1.28,5.07,21.30,-22.46,21.15,45.43,2
0.06,-0.02,-1.00,2.44,7.87,25.27,-22.81,21.55,45.01,2
-0.01,-0.02,-1.02,4.94,-6.59,17.03,-21.91,22.49,45.98,2
0.01,-0.03,-1.00,-2.99,0.12,19.17,-21.90,22.85,44.68,2
-0.07,-0.03,-1.05,-3.05,-5.25,19.96,-21.86,24.45,44.43,2
0.02,-0.01,-0.99,6.96,0.00,-1.71,-21.20,24.94,45.34,2
0.01,-0.02,-1.01,0.06,-0.98,-1.53,-21.78,23.99,44.52,2
0.00,0.01,-1.03,7.87,3.30,-12.15,-20.68,23.49,44.85,2
0.01,0.01,-1.02,-4.52,-0.49,-24.78,-21.52,23.36,45.10,2
-0.01,-0.00,-1.00,-6.84,-0.67,-17.94,-21.45,23.03,45.13,2
0.02,-0.01,-1.00,1.04,2.75,-25.15,-22.07,21.96,44.21,2
0.00,-0.01,-1.02,-0.37,2.44,-16.24,-22.06,21.90,44.09,2
-0.00,-0.00,-1.00,16.42,5.37,-17.21,-22.22,19.91,43.52,2
-0.02,0.01,-1.01,7.20,7.87,-21.24,-22.72,18.31,45.79,2
-0.03,0.04,-1.00,5.92,4.94,-8.97,-23.38,17.90,43.23,2
-0.04,0.05,-1.02,3.91,3.85,-3.85,-23.83,16.80,44.40,2
-0.05,0.03,-1.00,-0.85,-2.32,0.98,-23.50,16.48,43.19,2
-0.03,0.05,-1.01,-1.83,-9.22,15.50,-23.05,17.10,44.26,2
-0.02,0.03,-1.03,0.98,-1.71,5.07,-23.46,17.35,43.86,2
-0.02,0.06,-1.01,1.95,-3.42,-3.72,-22.63,17.32,44.45,2
-0.00,0.05,-1.00,-3.78,-9.46,-8.48,-22.81,16.98,43.99,2
-0.01,0.01,-0.98,-22.71,-10.99,0.37,-21.87,18.19,45.98,2
0.01,-0.02,-1.04,-19.04,-15.20,11.41,-21.41,19.43,44.17,2
0.06,-0.07,-1.02,-14.04,0.55,5.98,-19.49,21.75,46.73,2
0.05,-0.06,-1.04,7.39,6.96,17.03,-20.41,22.86,45.98,2
0.02,-0.01,-1.08,9.34,5.07,12.94,-21.51,23.18,45.39,2
0.01,-0.01,-1.00,9.22,3.60,-4.21,-21.33,22.11,45.24,2
