Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,Posture
-0.99,-0.06,0.04,21.30,-13.43,3.48,-42.60,39.07,-11.65,4
-1.02,-0.06,0.03,30.09,-0.37,-13.85,-42.69,39.10,-10.71,4
-0.95,-0.09,-0.02,60.24,-6.53,0.92,-42.76,39.39,-8.37,4
-0.96,-0.04,-0.04,42.05,-10.07,6.90,-42.94,41.98,-5.91,4
-0.99,-0.13,-0.06,40.10,-6.59,5.00,-42.36,43.37,-5.24,4
-0.98,-0.00,-0.00,28.38,-8.48,-15.38,-42.10,43.18,-1.59,4
-1.04,-0.08,-0.03,25.88,-3.97,-1.46,-43.29,42.52,-1.75,4
-0.92,0.03,-0.05,37.78,5.00,13.00,-42.25,43.77,-1.32,4
-0.94,-0.09,-0.04,4.76,-3.11,12.76,-41.59,44.32,-0.62,4
-0.95,-0.07,-0.06,-4.03,-2.99,0.06,-41.85,45.20,-0.18,4
-1.01,-0.13,-0.02,-7.51,5.49,-15.08,-41.83,44.26,-0.72,4
-0.94,-0.07,-0.10,-3.48,-12.15,-2.99,-42.21,43.96,1.90,4
-1.02,-0.04,-0.06,2.87,-5.86,-14.40,-42.98,43.25,0.52,4
-0.98,-0.05,-0.13,2.14,-13.55,-3.54,-43.30,42.83,2.67,4
-0.88,-0.05,-0.10,2.50,12.94,1.34,-43.65,42.59,3.15,4
-0.96,-0.07,-0.19,-5.37,-43.76,-65.67,-45.24,38.05,1.75,4
-0.93,0.22,-0.10,-11.66,6.23,16.36,-46.01,35.49,3.88,4
-0.97,0.15,-0.10,8.85,23.32,25.76,-45.56,36.22,2.73,4
-1.00,0.06,-0.07,8.48,5.25,19.71,-44.73,38.83,2.32,4
-1.01,0.07,-0.10,13.92,-24.66,3.72,-43.66,40.08,3.02,4
-0.96,0.00,-0.15,22.71,-20.20,17.03,-44.12,40.99,5.82,4
-1.21,0.08,-0.25,11.72,-35.16,25.45,-43.31,41.71,5.92,4
-0.92,-0.13,-0.17,66.53,19.23,37.05,-41.66,44.40,6.23,4
-0.98,-0.03,-0.07,54.69,6.41,4.27,-41.44,44.48,8.78,4
-0.98,-0.15,-0.17,49.99,5.80,-6.77,-41.53,43.60,11.87,4
-1.02,-0.17,-0.18,60.61,4.33,3.17,-40.80,43.31,11.57,4
-0.96,-0.06,-0.10,4.15,4.58,3.23,-41.63,42.20,13.96,4
-0.97,-0.02,-0.06,1.65,6.41,-2.44,-41.67,41.80,12.15,4
-0.95,-0.06,-0.07,29.72,7.08,-3.17,-42.11,41.38,14.01,4
-0.96,-0.04,-0.06,39.67,0.37,-20.08,-42.38,39.78,14.18,4
-1.02,-0.02,-0.10,27.40,5.92,-10.99,-42.94,37.49,16.27,4
-0.98,0.00,-0.09,19.71,-4.21,10.31,-42.94,36.49,17.55,4
-0.98,-0.03,-0.11,18.74,-1.95,-0.37,-42.93,36.94,17.90,4
-1.01,-0.02,-0.16,19.59,-7.08,14.65,-42.55,37.23,17.68,4
-1.01,-0.05,-0.16,10.93,-1.40,4.15,-41.77,37.73,19.41,4
-0.98,-0.04,-0.15,8.48,-9.03,11.47,-41.55,38.01,20.70,4
-0.96,-0.06,-0.18,20.14,-12.51,9.89,-39.93,37.28,22.22,4
-0.97,-0.06,-0.17,17.52,-3.17,-0.37,-39.71,37.73,22.44,4
-0.99,-0.06,-0.18,7.39,0.12,-1.16,-41.00,36.24,23.58,4
-0.95,-0.05,-0.18,8.36,-2.69,4.76,-39.51,36.67,24.19,4
-0.96,-0.07,-0.18,21.42,7.45,11.72,-40.14,36.52,23.01,4
-1.00,-0.07,-0.16,31.13,1.53,5.92,-40.23,37.28,23.95,4
-0.99,-0.08,-0.17,22.95,-6.23,-2.01,-40.61,36.84,25.29,4
-0.97,-0.06,-0.20,23.38,-6.47,-0.55,-39.31,34.68,24.93,4
-0.99,-0.05,-0.19,28.50,0.24,-3.30,-39.79,33.45,27.83,4
-0.95,-0.03,-0.19,22.77,3.48,0.79,-40.05,32.73,26.97,4
-0.98,-0.04,-0.19,25.70,0.92,0.79,-39.99,30.33,27.75,4
-0.97,-0.03,-0.19,17.58,2.26,-0.85,-39.26,29.68,29.06,4
-0.95,-0.02,-0.20,19.17,3.72,7.63,-39.32,29.05,27.89,4
-0.95,-0.04,-0.18,13.12,1.53,1.65,-40.15,29.22,29.48,4
-0.92,-0.02,-0.23,15.99,-1.22,3.97,-39.95,28.76,28.25,4
-0.98,-0.05,-0.18,20.20,6.90,1.46,-39.82,28.89,28.88,4
-0.96,-0.03,-0.18,26.37,9.40,4.21,-40.31,27.48,29.39,4
-0.99,-0.04,-0.14,34.67,0.61,2.99,-40.86,26.01,29.00,4
-0.97,-0.03,-0.14,34.06,-3.91,2.87,-40.88,25.13,28.25,4
-0.97,-0.03,-0.15,23.99,-6.65,7.57,-40.55,23.63,28.70,4
-0.97,-0.03,-0.17,11.66,-5.07,-1.04,-40.34,22.90,28.32,4
-0.98,-0.01,-0.23,23.38,-6.04,-6.23,-39.59,21.53,29.41,4
-0.97,-0.00,-0.22,42.05,-5.31,-3.66,-40.54,19.90,30.18,4
-0.98,-0.00,-0.17,18.80,-7.02,0.85,-39.72,17.99,31.02,4
-0.98,0.02,-0.22,11.54,-8.73,-5.19,-38.57,16.86,30.80,4
-0.96,0.06,-0.28,6.59,-13.37,-2.08,-38.99,16.39,32.41,4
-0.95,0.06,-0.27,16.17,-1.34,4.46,-38.44,15.81,32.37,4
-0.97,0.02,-0.27,17.27,6.16,6.16,-38.20,15.25,30.74,4
-0.98,0.02,-0.18,-8.06,5.68,5.62,-38.81,15.47,32.36,4
-0.99,0.01,-0.20,-46.88,3.17,-4.76,-39.25,16.36,32.23,4
-0.97,0.01,-0.22,-34.48,-2.44,-10.74,-39.15,17.69,31.65,4
-0.94,0.01,-0.22,-14.34,-4.94,0.98,-38.65,19.81,31.30,4
-0.95,0.02,-0.23,16.85,-1.95,5.55,-38.77,19.82,32.08,4
-0.99,0.00,-0.21,45.78,3.42,5.98,-38.28,17.75,33.50,4
-0.97,0.02,-0.20,42.79,1.40,-2.26,-39.01,16.98,31.54,4
-0.97,0.04,-0.19,28.44,6.53,-8.24,-39.16,14.34,31.15,4
-0.92,0.05,-0.20,26.25,5.25,-5.31,-38.50,11.98,29.98,4
-0.96,0.05,-0.18,24.35,9.64,8.91,-39.47,10.45,28.93,4
-0.98,0.05,-0.22,8.73,-2.87,8.54,-38.99,10.02,28.09,4
-0.96,0.06,-0.19,26.86,-0.37,9.46,-39.40,9.88,29.00,4
-0.98,0.06,-0.17,42.30,0.43,2.99,-39.77,8.87,27.04,4
-1.01,0.05,-0.18,25.88,14.53,-1.89,-38.85,6.20,26.88,4
-0.97,0.05,-0.17,-5.37,-3.72,22.95,-39.06,6.45,27.69,4
-1.00,0.05,-0.17,22.71,14.22,4.88,-39.92,7.59,26.04,4
-0.96,0.03,-0.12,21.42,5.62,-1.22,-40.48,7.42,24.98,4
-0.98,0.05,-0.13,3.91,-3.60,5.80,-41.14,6.30,25.13,4
-0.95,-0.06,-0.13,12.70,-2.26,3.97,-40.56,6.07,24.32,4
-1.07,0.06,-0.16,21.91,5.98,-9.77,-41.24,6.45,24.26,4
-0.95,0.09,-0.11,43.82,5.74,-10.31,-40.65,4.20,23.32,4
-0.95,0.10,-0.08,43.33,9.28,-28.99,-40.27,1.04,21.61,4
-1.01,0.16,-0.07,37.41,9.34,-15.20,-40.20,-0.71,19.52,4
-0.90,0.16,-0.03,20.32,5.43,-6.41,-39.29,-3.28,18.26,4
-0.93,0.17,-0.02,16.85,-4.21,3.85,-39.28,-3.82,18.35,4
-0.99,0.10,-0.05,7.20,-1.40,1.77,-39.94,-3.60,16.99,4
-0.97,0.15,0.00,-2.01,-5.68,-4.09,-40.31,-3.89,16.52,4
-0.96,0.16,-0.03,6.41,-4.58,-2.69,-39.25,-4.71,17.80,4
-1.02,0.17,-0.06,-8.00,8.54,12.02,-39.92,-4.03,17.88,4
-0.98,0.18,-0.05,-35.58,1.71,22.77,-40.87,-1.62,17.63,4
-1.00,0.08,-0.08,-71.53,-11.41,0.55,-41.15,-0.34,18.36,4
-0.96,0.19,-0.11,-75.87,-18.43,6.71,-40.77,2.25,23.25,4
-0.97,0.10,-0.12,-23.07,-2.62,-9.83,-39.76,4.54,25.05,4
-1.00,0.05,-0.12,-24.78,5.62,-6.77,-40.31,4.75,23.78,4
-0.98,0.08,-0.13,-42.97,-10.31,-5.31,-39.78,5.87,26.65,4
-0.96,0.08,-0.14,-37.84,-2.87,-0.31,-38.79,6.63,26.68,4
-0.94,0.09,-0.15,-30.82,2.38,3.11,-39.21,8.90,28.81,4
-0.96,0.08,-0.14,-21.91,5.68,2.14,-39.84,9.69,27.78,4
-1.03,0.03,-0.27,-15.08,-1.83,7.93,-40.26,11.36,27.93,4
-0.96,0.04,-0.10,12.08,3.97,-5.31,-40.30,12.01,27.58,4
-0.99,0.05,-0.12,18.80,14.28,9.16,-40.64,11.67,26.50,4
-1.01,0.04,-0.12,-16.66,3.72,4.03,-40.91,11.38,25.50,4
-0.98,0.03,-0.11,-53.47,-17.46,0.24,-41.42,13.55,26.21,4
-0.98,0.05,-0.14,-28.08,-10.93,-2.50,-40.87,14.94,27.14,4
-0.95,0.01,-0.16,-28.08,-5.00,8.97,-40.08,16.22,28.33,4
-0.99,-0.06,-0.15,-23.32,2.32,8.00,-40.69,18.43,29.39,4
-0.99,-0.05,-0.17,-17.70,-0.18,0.12,-40.41,19.95,29.61,4
-0.98,-0.03,-0.15,-16.60,-0.55,-1.22,-40.47,20.34,29.44,4
-0.95,-0.01,-0.14,-27.77,-1.46,1.40,-40.80,21.25,28.83,4
-0.97,-0.05,-0.17,-1.10,-1.89,2.50,-39.95,22.74,27.54,4
-0.99,-0.01,-0.13,28.26,18.07,-1.95,-40.71,22.22,28.43,4
-0.99,-0.03,-0.12,57.07,18.92,-0.18,-41.32,21.06,26.79,4
-0.96,-0.02,-0.11,55.66,-3.91,-4.76,-41.80,18.90,25.37,4
-0.99,0.01,-0.13,39.98,-0.85,-6.96,-42.35,15.33,25.94,4
-0.98,0.02,-0.12,31.80,0.43,-7.08,-41.64,13.09,25.87,4
-0.93,0.07,-0.09,40.41,2.26,0.55,-42.00,12.30,26.95,4
-0.96,0.05,-0.11,48.77,5.31,-9.83,-41.85,9.84,26.17,4
-1.00,0.07,-0.07,25.76,2.50,-3.48,-41.00,7.75,24.72,4
-0.96,0.07,-0.09,0.00,-4.52,2.99,-40.99,6.87,24.68,4
-0.98,0.09,-0.10,10.62,-0.92,7.75,-41.48,7.09,24.16,4
-0.98,0.10,-0.12,15.26,1.28,2.26,-41.72,6.99,24.10,4
-0.99,0.09,-0.11,6.10,-3.72,5.80,-41.66,6.07,22.61,4
-1.01,0.05,-0.10,20.08,0.92,-0.12,-41.85,6.25,22.62,4
-0.98,0.04,-0.09,24.05,1.04,-10.44,-41.33,4.52,23.72,4
-1.00,0.06,-0.09,4.76,-4.03,3.85,-41.37,3.92,21.98,4
-1.00,0.03,-0.09,-22.46,1.59,12.76,-41.67,4.85,21.86,4
-1.01,0.01,-0.09,-77.88,-9.46,13.12,-41.86,8.18,22.91,4
-0.98,0.05,-0.13,-56.40,-12.88,-5.13,-41.74,11.57,26.05,4
-0.97,0.02,-0.13,-38.33,-5.13,-10.74,-40.78,11.78,26.62,4
-0.92,0.03,-0.14,-61.34,-1.77,-3.11,-40.67,12.98,28.36,4
-0.99,-0.01,-0.17,-47.73,-0.18,14.10,-40.67,16.28,29.35,4
-0.98,-0.02,-0.14,-24.35,1.59,-7.14,-40.54,17.80,28.39,4
-0.97,0.01,-0.18,-21.18,3.23,-7.63,-40.66,17.90,28.78,4
-0.94,0.03,-0.17,-9.16,-0.92,-13.06,-41.49,18.16,29.15,4
-0.98,0.04,-0.17,30.03,6.47,3.23,-41.19,17.30,28.50,4
-1.04,-0.04,-0.15,19.90,0.00,-1.71,-41.61,16.20,27.19,4
-0.97,0.00,-0.14,-66.41,-12.15,-7.08,-41.60,16.94,28.06,4
-0.95,0.02,-0.14,-60.97,-18.01,-6.71,-40.59,19.54,29.46,4
-0.97,0.02,-0.21,-57.98,-18.13,-16.66,-40.20,21.92,31.26,4
-0.97,0.04,-0.23,-59.75,-4.88,-19.78,-40.47,23.55,29.85,4
-0.91,0.02,-0.26,-51.03,-9.09,-11.60,-40.83,24.73,29.19,4
-0.96,0.00,-0.24,-42.79,8.61,-5.49,-41.38,26.42,28.16,4
-0.98,0.02,-0.21,-43.52,6.04,-6.29,-41.47,28.42,28.75,4
-0.96,0.01,-0.21,-56.34,8.79,-8.30,-41.94,30.00,26.40,4
-0.97,0.01,-0.17,-50.72,19.47,-5.00,-42.48,30.82,25.46,4
-0.96,0.00,-0.17,-35.95,-15.32,-14.59,-42.53,32.30,22.78,4
-0.94,0.01,-0.10,-29.30,-10.07,-7.87,-42.81,32.36,22.23,4
-0.99,0.03,-0.13,-67.14,11.60,-1.22,-43.41,34.50,22.20,4
-1.00,-0.01,-0.16,-69.70,14.53,-0.85,-43.05,36.15,20.30,4
-0.97,0.01,-0.12,-53.65,11.90,-7.26,-43.91,38.54,16.89,4
-0.96,-0.02,-0.09,-48.77,0.00,2.26,-44.06,38.73,14.83,4
-1.00,-0.05,-0.11,-56.95,0.00,-0.85,-43.65,40.03,12.17,4
-0.97,-0.05,-0.07,-28.38,7.75,-11.17,-44.17,40.39,10.61,4
-1.00,-0.02,-0.07,-14.04,4.33,6.23,-44.58,40.32,8.58,4
-0.98,-0.00,-0.08,-17.82,7.26,2.44,-43.96,41.83,9.22,4
-1.00,-0.03,-0.07,-0.92,-4.52,22.03,-43.82,41.77,6.59,4
-0.92,-0.08,-0.02,7.57,-4.88,37.78,-42.70,44.31,7.60,4
-0.98,-0.15,-0.05,-15.50,3.05,30.94,-41.48,45.79,6.77,4
-0.99,-0.17,-0.04,-0.92,-0.49,-3.66,-39.97,46.69,7.08,4
-0.97,-0.20,-0.03,2.38,0.37,-13.12,-41.14,45.72,6.65,4
-0.99,-0.18,-0.07,12.21,-4.70,-12.94,-41.74,44.82,7.10,4
-0.99,-0.14,-0.08,-6.35,-6.04,-46.94,-41.99,43.65,8.25,4
-1.01,-0.06,-0.07,-26.49,-2.69,-14.22,-43.53,40.97,7.90,4
-0.97,-0.03,-0.09,-19.71,2.50,0.31,-44.75,40.61,7.35,4
-0.96,-0.05,-0.09,-37.41,5.98,-4.70,-44.02,40.72,5.04,4
-1.00,-0.04,-0.05,-30.88,7.45,11.78,-43.98,40.56,5.09,4
-0.98,-0.07,-0.04,-15.14,1.83,24.90,-43.42,42.21,1.88,4
-0.97,-0.12,-0.03,-15.75,6.23,30.46,-42.11,44.24,1.21,4
-1.00,-0.13,-0.00,-33.02,13.92,19.53,-41.28,46.28,-1.40,4
-1.01,-0.19,0.03,3.66,-3.72,-17.03,-40.56,46.07,-2.39,4
-0.96,-0.16,0.03,-18.49,-9.09,-13.18,-41.60,45.02,-3.43,4
-1.02,-0.18,0.02,-37.78,-4.70,-28.69,-42.61,42.98,-3.34,4
-0.95,-0.05,0.01,-48.40,9.46,-7.87,-42.91,41.11,-4.16,4
-1.01,-0.05,0.05,-46.39,22.22,-7.20,-42.88,39.36,-7.53,4
-1.02,0.05,0.05,-39.55,18.31,-42.91,-42.70,37.56,-9.47,4
-0.92,0.17,0.11,-37.35,9.03,-70.07,-43.01,32.40,-11.88,4
-0.94,0.19,0.14,-9.77,5.31,-16.11,-44.84,27.10,-12.07,4
-0.91,0.17,0.12,10.44,-5.80,12.94,-44.09,27.45,-12.92,4
-0.90,0.16,0.14,-6.35,10.99,30.40,-44.25,27.72,-12.67,4
-0.95,0.11,0.11,-29.05,-3.05,9.70,-43.01,30.15,-15.71,4
-1.01,0.13,0.06,-16.97,3.54,25.39,-42.69,30.46,-14.40,4
-0.94,0.05,0.09,8.12,31.25,47.00,-41.59,33.28,-15.93,4
-0.95,-0.06,0.15,5.80,4.82,26.06,-39.62,36.06,-16.48,4
-0.99,-0.09,0.16,1.59,2.99,22.03,-39.16,38.38,-16.87,4
-1.01,-0.14,0.13,-5.49,-12.21,-6.10,-38.62,38.54,-17.16,4
-0.98,-0.12,0.16,-8.67,-5.86,-9.64,-39.23,38.13,-17.07,4
-0.96,-0.06,0.13,-27.16,-14.04,-39.31,-39.47,37.56,-17.94,4
-1.00,0.04,0.10,-32.35,-11.05,-33.81,-41.59,34.78,-17.96,4
-1.00,0.06,0.09,-21.24,-2.99,-12.27,-41.92,30.81,-18.32,4
-0.97,0.07,0.08,-7.93,-5.37,-13.37,-42.21,29.64,-18.21,4
-0.96,0.11,0.07,-10.68,-4.39,-14.10,-42.49,28.10,-18.59,4
-1.01,0.14,0.06,-13.12,-5.55,-21.30,-42.76,27.14,-17.77,4
-0.96,0.18,0.04,-10.80,2.87,-6.65,-42.77,25.38,-18.04,4
-0.98,0.17,0.06,-8.00,2.81,0.24,-43.31,24.55,-17.07,4
-0.97,0.17,0.07,6.16,5.31,4.21,-43.09,24.08,-18.13,4
-0.99,0.14,0.08,16.97,22.28,39.73,-42.48,25.27,-20.17,4
-1.02,0.06,0.13,9.16,5.80,44.43,-39.98,29.80,-20.42,4
-0.99,-0.03,0.15,3.66,5.19,35.71,-38.85,33.08,-20.75,4
-0.95,-0.02,0.13,-11.66,-8.06,10.93,-37.65,34.22,-20.39,4
-0.97,-0.11,0.15,-17.09,5.07,6.59,-38.44,34.18,-20.35,4
-0.97,-0.06,0.15,-25.15,24.23,29.66,-37.52,33.35,-21.44,4
-0.98,-0.11,0.18,-21.97,14.34,27.89,-35.03,34.25,-24.08,4
-0.94,-0.19,0.21,-2.93,15.99,40.41,-34.25,35.34,-25.34,4
-0.93,-0.24,0.23,-14.71,4.46,31.19,-32.41,37.11,-25.22,4
-0.83,-0.29,0.28,-2.01,12.70,40.65,-31.10,38.31,-25.88,4
-0.92,-0.35,0.28,3.54,0.79,5.19,-29.46,39.65,-25.94,4
-0.90,-0.29,0.27,-11.66,-13.73,-30.09,-30.20,38.81,-25.52,4
-0.98,-0.24,0.25,-19.29,-26.43,-43.03,-32.20,36.35,-25.44,4
-0.94,-0.20,0.22,-22.28,-7.87,-11.35,-34.18,33.85,-24.24,4
-0.93,-0.15,0.23,-41.38,0.00,-22.89,-34.59,30.64,-26.17,4
-0.92,-0.11,0.23,-28.75,3.11,-12.63,-34.46,29.30,-25.89,4
-0.93,-0.15,0.28,-30.70,4.70,-0.06,-34.69,26.78,-26.46,4
-0.94,-0.08,0.25,-30.58,-7.87,12.51,-34.24,24.69,-27.56,4
-0.94,-0.10,0.21,-22.52,-18.31,11.41,-35.03,23.57,-26.92,4
-0.95,-0.06,0.18,-14.77,-13.98,8.18,-35.88,22.63,-26.33,4
-0.96,-0.11,0.16,2.32,-27.16,5.07,-36.82,22.42,-25.10,4
-0.99,-0.08,0.19,-26.31,-12.57,11.72,-39.00,23.35,-22.41,4
-0.94,-0.27,0.17,-85.69,-7.26,10.50,-39.65,20.92,-20.80,4
-0.87,-0.05,0.08,-73.30,-8.73,-21.91,-39.09,19.63,-23.19,4
-1.02,-0.10,0.14,13.67,-24.84,-18.31,-40.08,15.17,-20.61,4
-0.96,-0.05,0.08,-44.37,-11.66,5.37,-41.17,15.26,-19.74,4
-0.97,-0.11,0.10,-15.32,-8.48,10.56,-42.32,14.37,-18.29,4
-0.96,-0.15,0.09,-25.27,5.80,8.24,-41.83,14.92,-16.67,4
-0.99,-0.09,0.01,-38.02,1.22,2.81,-42.11,14.20,-17.36,4
-0.92,-0.14,0.06,-68.54,-9.03,-1.59,-42.08,12.10,-16.11,4
-1.04,-0.08,0.07,-23.56,-7.32,-5.80,-41.98,9.52,-14.84,4
-1.01,-0.09,0.15,-11.90,-0.85,-1.59,-41.47,8.98,-15.12,4
-0.96,-0.09,0.05,-9.22,-1.65,1.46,-42.32,9.53,-15.15,4
-0.98,-0.08,0.11,-23.99,-6.96,-5.31,-42.05,8.41,-14.64,4
-1.02,-0.04,0.08,-1.59,-7.08,-5.25,-42.30,7.82,-13.10,4
-0.99,-0.06,0.09,-13.18,-3.97,-7.20,-42.43,6.96,-14.37,4
-0.95,-0.05,0.08,-16.66,-7.39,-10.07,-43.05,6.73,-12.21,4
-1.01,-0.03,0.08,-19.35,1.71,-7.32,-42.07,3.94,-11.73,4
-0.98,-0.01,0.07,-5.13,9.70,4.03,-41.78,3.09,-12.08,4
-1.00,-0.02,0.12,-11.11,5.43,2.32,-40.81,4.30,-12.24,4
-0.97,-0.07,-0.10,-57.98,-1.59,-1.04,-41.55,4.10,-13.40,4
-1.02,0.02,0.08,-36.07,-19.47,-10.93,-40.77,1.88,-11.18,4
-1.08,0.03,0.13,3.60,5.49,3.60,-41.54,1.23,-10.02,4
-1.00,-0.02,0.12,10.44,1.46,0.18,-40.77,1.68,-11.11,4
-0.98,-0.05,-0.04,-17.03,-13.37,-0.98,-40.73,1.29,-9.67,4
-0.95,0.03,0.09,-28.08,1.65,1.65,-40.81,0.90,-8.76,4
-0.99,0.04,0.10,-23.68,1.65,-4.52,-41.00,-0.32,-8.18,4
-1.02,0.06,0.15,21.79,18.86,1.22,-40.52,-0.79,-9.61,4
-0.91,0.02,0.18,46.63,29.91,-13.49,-40.01,-0.27,-12.63,4
-0.95,0.03,0.23,61.89,8.00,-4.21,-38.90,1.26,-14.65,4
-0.95,0.01,0.23,68.36,15.63,4.64,-38.11,3.60,-18.31,4
-0.95,-0.10,0.29,22.34,13.61,0.92,-38.00,7.09,-20.85,4
-0.97,-0.02,0.24,-12.21,11.60,-12.08,-37.00,6.58,-20.29,4
-0.93,0.01,0.34,36.19,20.02,-11.11,-36.51,6.42,-22.28,4
-0.93,-0.06,0.34,86.98,4.27,-7.69,-35.57,8.24,-23.58,4
-0.94,-0.05,0.30,38.94,2.44,-17.40,-35.22,11.33,-24.82,4
-0.94,-0.03,0.35,-2.26,6.35,-18.86,-34.48,10.73,-25.82,4
-0.91,-0.01,0.33,23.07,-9.46,-11.47,-34.09,10.13,-25.51,4
-0.88,-0.00,0.28,7.32,-18.68,-21.24,-33.95,10.47,-26.45,4
-0.98,0.10,0.28,-39.00,-8.73,-23.01,-35.24,8.46,-23.35,4
-0.98,0.15,0.27,-5.80,-10.62,-13.18,-34.73,5.54,-22.89,4
-0.92,0.12,0.25,4.70,-21.67,-7.32,-35.42,4.82,-23.27,4
-0.95,0.12,0.21,16.78,-5.31,-12.08,-35.39,5.11,-22.07,4
-0.97,0.19,0.20,4.27,6.77,-14.71,-35.94,4.39,-22.22,4
-0.96,0.17,0.22,-1.53,6.53,-13.98,-33.63,3.70,-23.68,4
-0.96,0.17,0.32,20.14,-8.85,19.96,-33.90,2.82,-22.57,4
-0.93,0.12,0.29,81.05,1.28,21.55,-35.01,6.81,-24.13,4
-0.96,0.07,0.25,61.89,3.60,5.31,-35.60,11.66,-25.46,4
-1.02,0.04,0.29,22.03,8.48,-0.98,-35.23,15.06,-25.70,4
-0.91,0.03,0.34,47.12,27.95,4.70,-34.73,15.78,-26.86,4
-0.91,0.01,0.31,38.02,-17.70,-4.76,-32.53,19.09,-28.91,4
-0.90,0.00,0.30,25.63,-25.76,-4.03,-34.57,20.87,-26.81,4
-0.86,0.07,0.26,10.19,-21.61,-3.05,-35.55,21.29,-26.21,4
-1.00,-0.02,0.23,60.06,-13.12,5.13,-36.22,23.16,-24.40,4
-1.02,-0.07,0.20,63.23,-14.89,-0.92,-37.23,26.39,-24.35,4
-0.97,-0.07,0.19,43.03,-12.63,-0.79,-38.18,30.30,-21.09,4
-1.00,-0.11,0.18,45.10,-3.17,3.48,-38.71,33.61,-20.90,4
-0.98,-0.10,0.17,26.37,-3.66,-0.73,-39.16,34.20,-18.74,4
-0.94,-0.07,0.13,3.17,-4.39,-10.31,-39.44,35.03,-18.66,4
-0.98,-0.08,0.14,4.82,-12.70,-6.65,-39.87,34.96,-17.77,4
-0.98,-0.06,0.12,20.63,-5.62,-12.94,-41.06,34.25,-16.21,4
-1.00,-0.10,0.08,28.81,-6.35,-4.46,-41.20,34.94,-16.70,4
-1.06,-0.02,0.12,35.16,-0.12,6.84,-40.81,35.25,-14.97,4
-0.89,-0.06,0.10,17.09,9.46,-12.39,-39.88,36.73,-14.69,4
-0.95,-0.06,0.10,58.96,-16.36,37.78,-39.26,40.92,-12.43,4
